BSS Id,Receiver address,Type/Subtype,PHY type,MCS Index,Bandwidth,Short GI,Data rate,Channel,Frequency,Signal strength,Signal/noise ratio,Retry,TSF Timestamp
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-34 dBm,61 dB,0,435404859
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-32 dBm,63 dB,0,435507296
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Type/Subtype: Probe Request (0x0004),PHY type: 802.11b (HR/DSSS) (4),N/A,N/A,Not supported,1.0 Mbps,False,2412,0 dBm,95 dB,0,Absent
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Type/Subtype: Probe Request (0x0004),PHY type: 802.11b (HR/DSSS) (4),N/A,N/A,Not supported,1.0 Mbps,False,2412,0 dBm,95 dB,0,Absent
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Type/Subtype: Probe Request (0x0004),PHY type: 802.11b (HR/DSSS) (4),N/A,N/A,Not supported,1.0 Mbps,False,2412,0 dBm,95 dB,0,Absent
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Type/Subtype: Probe Request (0x0004),PHY type: 802.11b (HR/DSSS) (4),N/A,N/A,Not supported,1.0 Mbps,False,2412,0 dBm,95 dB,0,Absent
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Type/Subtype: Probe Request (0x0004),PHY type: 802.11b (HR/DSSS) (4),N/A,N/A,Not supported,1.0 Mbps,False,2412,0 dBm,95 dB,0,Absent
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Type/Subtype: Probe Request (0x0004),PHY type: 802.11b (HR/DSSS) (4),N/A,N/A,Not supported,1.0 Mbps,False,2412,0 dBm,95 dB,0,Absent
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Type/Subtype: Probe Request (0x0004),PHY type: 802.11b (HR/DSSS) (4),N/A,N/A,Not supported,1.0 Mbps,False,2412,0 dBm,95 dB,0,Absent
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Type/Subtype: Probe Request (0x0004),PHY type: 802.11b (HR/DSSS) (4),N/A,N/A,Not supported,1.0 Mbps,False,2412,0 dBm,95 dB,0,Absent
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-34 dBm,61 dB,0,435609706
